,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,kuala terengganu,3.377,98.6189,77.0,100,75,11.5,ID,1610924859
231,mossendjo,-2.9506,12.7261,69.49,99,90,2.57,CG,1610924859
232,richards bay,46.8361,-95.9123,21.0,100,90,8.05,US,1610924859
233,sitka,57.0531,-135.33,42.8,75,75,10.36,US,1610924632
234,fuxin,42.0156,121.6589,0.55,74,49,13.02,CN,1610924860
235,sasaram,24.951,84.0149,50.23,73,0,0.85,IN,1610924860
236,xiaoweizhai,26.1903,107.5125,32.54,93,11,2.19,CN,1610924860
237,buchanan,5.8808,-10.0467,75.2,94,40,5.77,LR,1610924860
238,kenitra,34.261,-6.5802,42.8,93,71,5.55,MA,1610924860
239,chicago,41.85,-87.65,33.01,86,90,6.91,US,1610924520
240,saldanha,-33.0117,17.9442,66.2,72,0,5.75,ZA,1610924860
241,ossora,59.2353,163.0719,0.91,92,100,22.46,RU,1610924861
242,hovd,48.0056,91.6419,-1.07,82,90,1.43,MN,1610924861
243,cayenne,4.9333,-52.3333,80.6,83,75,4.61,GF,1610924861
244,leh,34.1667,77.5833,12.78,68,23,0.56,IN,1610924594
245,sioux lookout,42.7333,-96.2336,35.01,75,90,9.22,US,1610924861
246,atasu,48.6814,71.6433,15.17,90,83,3.71,KZ,1610924861
247,menongue,-14.6585,17.691,63.46,68,43,0.69,AO,1610924861
248,rumoi,43.9344,141.6428,12.2,85,75,1.14,JP,1610924861
249,akdepe,42.0551,59.3788,30.2,74,0,6.91,TM,1610924862
250,shipunovo,52.1582,82.2173,17.13,88,47,17.05,RU,1610924862
251,rawson,-43.3002,-65.1023,67.33,52,23,11.07,AR,1610924862
252,yangambi,0.8102,24.4336,71.62,88,47,2.51,CD,1610924862
253,hilo,19.7297,-155.09,82.4,57,90,5.75,US,1610924862
254,ancud,-41.8697,-73.8203,62.6,67,0,6.91,CL,1610924862
255,alta floresta,69.9689,23.2717,28.99,93,90,2.3,NO,1610924862
256,puerto escondido,36.5939,-6.233,48.0,93,0,4.61,ES,1610924862
257,nyurba,63.2842,118.3319,-33.54,82,100,5.5,RU,1610924862
258,puerto cortes,36.5939,-6.233,48.0,93,0,4.61,ES,1610924862
259,severo-kurilsk,50.6789,156.125,19.87,93,90,40.91,RU,1610924864
260,marzuq,14.4,46.4667,58.91,50,59,1.9,YE,1610924864
261,savannah bight,32.0835,-81.0998,51.8,49,1,5.75,US,1610924688
262,mount isa,53.6597,-1.8537,41.0,89,99,7.0,GB,1610924864
263,qaqortoq,60.7167,-46.0333,21.2,68,75,6.6,GL,1610924864
264,itarema,-2.9248,-39.9167,79.88,78,92,13.33,BR,1610924586
265,smithers,54.7804,-127.1743,41.0,70,40,3.44,CA,1610924865
266,tuy hoa,14.0183,120.7296,77.0,78,90,2.3,PH,1610924865
267,westerland,54.9079,8.3033,33.8,100,90,10.36,DE,1610924865
268,jacareacanga,-6.2222,-57.7528,75.63,94,100,1.74,BR,1610924865
269,shahreza,32.0339,51.8794,37.35,79,64,3.67,IR,1610924865
270,bairiki,1.3292,172.9752,80.6,83,20,12.66,KI,1610924672
271,san carlos de bariloche,13.3034,-4.8956,72.54,19,90,9.89,ML,1610924853
272,sembe,1.6481,14.5806,73.42,81,98,3.04,CG,1610924866
273,galesong,-5.3166,119.3661,73.4,100,40,6.91,ID,1610924866
274,butterworth,5.3991,100.3638,78.8,61,20,12.66,MY,1610924866
275,sierra vista,5.1536,-74.9901,70.27,87,59,1.57,CO,1610924866
276,ekibastuz,51.6667,75.3667,20.89,93,99,16.55,KZ,1610924866
277,rincon,32.296,-81.2354,51.8,43,75,5.75,US,1610924673
278,omsukchan,62.5333,155.8,-37.1,79,100,7.49,RU,1610924866
279,belyy yar,55.8402,32.9419,-5.4,90,2,1.79,RU,1610924866
280,sungairaya,0.7,108.9,76.42,86,99,12.66,ID,1610924866
281,laguna,38.421,-121.4238,70.0,43,1,1.43,US,1610924801
282,lorengau,-2.0226,147.2712,84.97,74,82,15.19,PG,1610924659
283,gondanglegi,-7.7479,112.0132,74.73,89,92,1.14,ID,1610924867
284,fengkou,30.0833,113.2667,37.6,67,0,9.24,CN,1610924867
285,karpathos,35.507,27.2132,48.2,43,77,18.41,GR,1610924867
286,manggar,-2.8833,108.2667,78.57,86,100,14.16,ID,1610924867
287,pahrump,36.2083,-115.9839,73.99,15,0,5.01,US,1610924867
288,flinders,-34.5833,150.8552,75.99,63,13,1.01,AU,1610924621
289,tukums,56.9669,23.1553,3.2,92,0,3.44,LV,1610924867
290,popondetta,-8.7537,148.2534,86.52,65,69,2.1,PG,1610924867
291,sakhnovshchyna,49.1517,35.872,8.58,94,100,5.73,UA,1610924867
292,sandviken,60.6167,16.7667,20.14,97,63,6.78,SE,1610924868
293,yumen,40.2833,97.2,16.18,76,0,12.93,CN,1610924725
294,mareeba,-17.0,145.4333,77.0,86,100,5.99,AU,1610924868
295,iqaluit,63.7506,-68.5145,-14.8,70,20,5.75,CA,1610924868
296,jadu,31.953,12.0261,42.67,62,0,8.32,LY,1610924868
297,dekar,-21.5333,21.9333,74.05,71,100,9.01,BW,1610924868
298,san julian,13.3034,-4.8956,72.54,19,90,9.89,ML,1610924834
299,kangaatsiaq,68.3065,-53.4641,13.46,93,83,16.02,GL,1610924868
300,nachingwea,-10.3833,38.7667,71.94,97,82,5.06,TZ,1610924868
301,hervey bay,33.4982,-93.7771,55.4,30,1,12.66,US,1610924868
302,hami,42.8,93.45,13.71,77,0,3.06,CN,1610924869
303,kiama,-34.6833,150.8667,75.99,66,10,1.01,AU,1610924870
304,sorland,67.667,12.6934,30.2,93,75,3.44,NO,1610924870
305,husavik,66.0449,-17.3389,33.8,80,90,3.44,IS,1610924870
306,tabou,4.423,-7.3528,78.67,83,0,6.73,CI,1610924870
307,iquitos,-3.7481,-73.2472,87.8,62,20,3.44,PE,1610924870
308,selma,36.5708,-119.6121,71.6,43,1,3.44,US,1610924720
309,hasaki,35.7333,140.8333,34.0,80,75,6.91,JP,1610924870
310,khani,41.9563,42.9566,42.8,100,90,10.36,GE,1610924702
311,tuatapere,-46.1333,167.6833,62.01,54,75,7.0,NZ,1610924871
312,half moon bay,6.3807,-10.6953,75.2,94,40,5.41,LR,1610924871
313,mount darwin,53.6597,-1.8537,41.0,89,99,7.0,GB,1610924864
314,marica,-22.9194,-42.8186,89.01,66,0,9.22,BR,1610924867
315,miracema do tocantins,-21.4122,-42.1967,72.03,89,12,3.47,BR,1610924871
316,maxixe,-23.8597,35.3472,77.68,90,100,4.68,MZ,1610924871
317,fukue,32.6881,128.8419,43.27,65,100,11.68,JP,1610924871
318,muncar,-8.4333,114.3333,76.46,82,100,1.5,ID,1610924871
319,kristinehamn,59.3098,14.1081,30.2,100,90,9.22,SE,1610924664
320,quimper,48.0,-4.1,37.4,100,75,2.13,FR,1610924871
321,meulaboh,4.1363,96.1285,76.05,84,98,4.14,ID,1610924872
322,kharan,28.5833,65.4167,50.94,32,0,2.66,PK,1610924652
323,khandyga,62.6667,135.6,-53.21,77,74,1.59,RU,1610924872
324,kozhevnikovo,56.2589,83.9714,17.01,88,100,14.0,RU,1610924872
325,souillac,-20.5167,57.5167,78.8,78,75,11.5,MU,1610924872
326,ewa beach,-8.6235,122.5073,76.68,87,97,5.5,ID,1610924872
327,san cristobal,13.3034,-4.8956,72.54,19,90,9.89,ML,1610924680
328,mantua,45.1667,10.7833,30.99,91,83,1.01,IT,1610924872
329,saint-louis,16.3333,-15.0,75.2,35,77,2.3,SN,1610924872
330,sinnamary,5.3833,-52.95,77.45,87,98,10.87,GF,1610924872
331,jaisalmer,26.9147,70.9181,55.96,31,0,8.48,IN,1610924872
332,north battleford,50.3333,3.6667,37.0,93,75,6.91,FR,1610924650
333,praia da vitoria,14.9215,-23.5087,71.6,73,0,17.27,CV,1610924873
334,port hedland,-7.0349,29.7638,71.56,75,92,6.4,CD,1610924873
335,itambacuri,-18.0311,-41.685,69.73,78,0,5.39,BR,1610924873
336,podolinec,49.2587,20.536,12.99,85,75,1.14,SK,1610924873
337,anadyr,64.75,177.4833,-18.0,76,100,11.18,RU,1610924580
338,srednekolymsk,67.45,153.6833,-41.1,81,40,3.0,RU,1610924599
339,coos bay,43.1665,-124.0015,57.99,87,1,14.97,US,1610924873
340,mehamn,71.0357,27.8492,33.31,94,100,16.2,NO,1610924873
341,cidreira,-30.1811,-50.2056,74.55,91,100,12.91,BR,1610924844
342,itacare,-14.2775,-38.9967,80.6,78,40,8.05,BR,1610924873
343,mezhdurechensk,53.6942,88.0603,9.84,94,99,3.78,RU,1610924873
344,porto tolle,41.1496,-8.611,44.6,81,0,2.3,PT,1610924819
345,weatherford,32.7593,-97.7972,59.0,34,24,1.01,US,1610924638
346,kavaratti,10.5669,72.642,81.39,76,0,6.08,IN,1610924698
347,idaho falls,44.5002,-114.2512,30.2,69,20,3.44,US,1610924874
348,puerto ayacucho,36.5939,-6.233,48.0,93,0,4.61,ES,1610924834
349,itaueira,-7.6033,-43.0256,77.23,68,37,2.19,BR,1610924874
350,atbasar,51.8,68.3333,3.85,93,2,8.21,KZ,1610924874
351,sembakung,3.8167,117.25,75.2,100,75,3.44,ID,1610924874
352,chapaevsk,52.9813,49.7112,-5.8,84,0,2.24,RU,1610924875
353,asau,46.4333,26.4,23.0,86,75,5.75,RO,1610924875
354,wukari,7.85,9.7833,76.73,20,35,2.86,NG,1610924875
355,mercedes,-34.6515,-59.4307,73.99,43,0,8.81,AR,1610924875
356,nemuro,43.3236,145.575,23.29,94,97,8.23,JP,1610924875
357,bachaquero,9.9694,-71.1494,80.82,66,29,4.65,VE,1610924875
358,jumla,29.2747,82.1838,38.32,67,0,3.42,NP,1610924679
359,vila franca do campo,42.0304,-8.1588,41.0,85,2,1.01,PT,1610924842
360,riyadh,24.6877,46.7219,60.8,29,0,4.59,SA,1610924698
361,leinefelde,51.3833,10.3333,30.0,92,98,3.58,DE,1610924876
362,nyuksenitsa,60.4128,44.2397,-2.27,91,77,7.02,RU,1610924876
363,mastic beach,40.802,-72.8409,43.0,49,90,10.36,US,1610924876
364,axim,4.8699,-2.2405,79.14,83,17,7.4,GH,1610924602
